"invoice_id","invoice_number","award_description","amount","quantity","unit_cost","sport_code","class_code","award_type","supervisor"
241,"785503",,572220,1,,"XC","S-060-00-CC-M","championship","Lizzie"
228,"785504",,262875,1,,"SC","S-060-00-SC-W","championship","Lizzie"
229,"785505",,262875,1,,"SC","S-060-00-SC-W","championship","Lizzie"
245,"785682","Promotional Items - Magnets",386000,955,393,"BB-W","S-060-00-BB-W","regular_season","Dayna"
244,"785682","Promotional Items - Magnets",410685,1045,393,"BB-M","S-060-00-BB-M","regular_season","Brian"
261,"785795","Special Olympics Ring Boxes",10470,2,5235,"XX","S-050-00-XX-0","regular_season","Jenn H"
230,"785998",,262875,1,,"VB","S-060-00-VB-W","championship","Lizzie"
253,"786426","Academic Awards - All-Rookie Team Certificates",114816,736,156,"XX","S-050-00-XX-0","regular_season","Nicole"
240,"787383",,193672,1,,"XC","S-050-00-CC-M","regular_season","Lizzie"
236,"787801",,396245,1,,"WR","S-060-00-WW-M","championship","Lizzie"
254,"787802","Display/Demo Medals",43372,28,1549,"XX","S-050-00-XX-0","regular_season","Lizzie"
207,"787803","Tournament Championship",152250,1,152250,"GYM","S-060-00-GY-W","championship","Lizzie"
206,"787803","Championship Trophy",262875,1,262875,"GYM","S-060-00-GY-W","championship","Lizzie"
208,"787803","Of The Year A + Of The Year B + Medals",310577,17,18269,"GYM","S-050-00-GY-W","regular_season","Lizzie"
214,"787804","Championship Trophy",262875,1,262875,"MBB","S-060-00-BB-M","championship","Lizzie"
262,"787805","Special Olympics Medals",12392,8,1549,"XX","S-050-00-XX-0","regular_season","Jenn H"
226,"787806",,27882,1,,"SD","S-060-00-SD-M","championship","Lizzie"
232,"787807",,262875,1,,"WBB","S-060-00-BB-W","championship","Dayna"
260,"787984","Special Olympics Ring Boxes",9542,1,9542,"XX","S-050-00-XX-0","regular_season","Jenn H"
217,"787985","Tournament Championship",152250,1,152250,"MBB","S-060-00-BB-M","championship","Lizzie"
215,"787985","Most Outstanding Player",9450,1,9450,"MBB","S-060-00-BB-M","championship","Lizzie"
216,"787985","Of The Year Large",24570,1,24570,"MBB","S-060-00-BB-M","championship","Lizzie"
231,"787986",,186270,1,,"WBB","S-060-00-BB-W","championship","Dayna"
202,"788239","Most Outstanding Performer",37800,4,9450,"EQ","S-060-00-EQ-W","championship","Lizzie"
203,"788239","Of The Year + 1st Team All-Conference",198970,25,7959,"EQ","S-050-00-EQ-W","regular_season","Lizzie"
201,"788239","Championship Trophy",262875,1,262875,"EQ","S-060-00-EQ-W","championship","Lizzie"
218,"788545","Championship Trophy",262875,1,262875,"MGO","S-060-00-GF-M","championship","Lizzie"
234,"788546",,262875,1,,"WGO","S-060-00-GF-W","championship","Lizzie"
204,"788788","Of The Year plates + All Conference plates",41500,26,1500,"EQ","S-050-00-EQ-W","regular_season","Lizzie"
233,"788789",,211074,1,,"WBB","S-050-00-BB-W","regular_season","Dayna"
200,"789041","Championship Trophy",262875,1,262875,"BVB","S-060-00-BV-W","championship","Lizzie"
219,"789042","Most Outstanding Player",9450,1,9450,"MTN","S-060-00-TN-M","championship","Lizzie"
220,"789042","Tournament Championship",152250,1,152250,"MTN","S-060-00-TN-M","championship","Lizzie"
210,"789582","Most Outstanding Player",9450,1,9450,"LAX","S-060-00-LX-W","championship","Lizzie"
211,"789582","Tournament Championship",152250,1,152250,"LAX","S-060-00-LX-W","championship","Lizzie"
222,"789583","Championship Trophy",262875,1,262875,"MTN","S-060-00-TN-M","championship","Lizzie"
259,"789584","Trophy Repair & Replacement Parts",12000,2,6000,"XX","S-050-00-XX-0","regular_season","Lizzie"
249,"789585","Medals & Awards",18744,7,2678,"IT-M","S-050-00-IT-M","regular_season","Lizzie"
212,"790026","Championship Trophy",262875,1,262875,"LAX","S-060-00-LX-W","championship","Lizzie"
225,"790027",,262875,1,,"SB","S-050-00-SB-W","regular_season","Lizzie"
238,"790028",,161700,1,,"WTN","S-060-00-TN-W","championship","Lizzie"
250,"790029","Nameplates",2354,4,589,"LX-W","S-050-00-LX-W","regular_season","Lizzie"
209,"790279","Of The Year Awards",144532,6,24089,"ITK","S-050-00-IT-M","regular_season","Lizzie"
223,"790280",,633784,1,,"RW","S-060-00-RW-W","championship","Lizzie"
237,"790281",,73710,1,,"WR","S-050-00-WW-M","regular_season","Lizzie"
227,"790903",,316522,1,,"SD","S-050-00-SD-M","regular_season","Lizzie"
199,"790904","Most Outstanding Pair",18900,2,9450,"BVB","S-060-00-BV-W","championship","Lizzie"
213,"790905","Of The Year Awards + All-Conference Teams",234200,27,8672,"MBB","S-050-00-BB-M","regular_season","Lizzie"
251,"790906","Nameplates",3000,2,1500,"RW-W","S-050-00-RW-W","regular_season","Lizzie"
197,"791346","Championship Trophy",262875,1,262875,"BSB","S-060-00-HB-0","championship","Lizzie"
198,"791346","Most Outstanding Player",9450,1,9450,"BSB","S-060-00-HB-0","championship","Lizzie"
205,"791347","Scholar Athlete",24570,1,24570,"EQ","S-050-00-EQ-W","regular_season","Lizzie"
235,"791348",,18588,1,,"WGO","S-060-00-GF-W","championship","Lizzie"
224,"791349",,161700,1,,"SB","S-060-00-SB-W","championship","Lizzie"
221,"792130","Of The Year Awards + 1st Team All-Conference",211306,29,7286,"MTN","S-050-00-TN-M","regular_season","Lizzie"
239,"792131",,286623,1,,"WTN","S-050-00-TN-W","regular_season","Lizzie"
