"invoice_id","invoice_number","vendor_name","total_amount","balance_due","status","date","due_date","description","year","fiscal_year","created_at","updated_at"
241,"785503","Jostens",593406,593406,"planned","2024-10-24T00:00:00",,"Cross Country 2024 Championship Awards","2024-25","FY25","2025-06-10T19:16:20.756","2025-06-10T19:16:20.756"
228,"785504","Jostens",319587,319587,"planned","2024-10-24T00:00:00",,"Soccer 24 Regular Season Championship Trophy","2024-25","FY25","2025-06-10T19:12:10.213","2025-06-10T19:12:10.213"
229,"785505","Jostens",297692,297692,"planned","2024-10-24T00:00:00",,"Soccer 24 Regular Season Championship Trophy","2024-25","FY25","2025-06-10T19:12:10.213","2025-06-10T19:12:10.213"
244,"785682","Jostens",810029,810029,"planned","2024-11-07T00:00:00","2024-11-17T00:00:00","Promotional Items - Magnets + Promotional Items - Magnets","2024-25","FY25","2025-06-10T19:32:16.853924","2025-06-12T21:00:55.966303"
261,"785795","Jostens",12485,12485,"planned","2024-11-14T00:00:00","2024-11-24T00:00:00","2025 Special Olympics Ring Boxes","2024-25","FY25","2025-06-11T02:36:49.259736","2025-06-11T02:36:49.259736"
230,"785998","Jostens",323116,323116,"planned","2024-11-26T00:00:00",,"Volleyball Regular Season Championship","2024-25","FY25","2025-06-10T19:12:10.213","2025-06-10T19:12:10.213"
253,"786426","Jostens",140100,140100,"planned","2024-12-19T00:00:00","2025-01-18T00:00:00","Academic All-Rookie Team Certificates for 2023-24","2023-24","FY25","2025-06-10T21:10:41.861021","2025-06-10T21:10:41.861021"
240,"787383","Jostens",209492,209492,"planned","2025-02-06T00:00:00",,"Cross Country Of The Year Awards","2024-25","FY25","2025-06-10T19:16:20.756","2025-06-10T19:16:20.756"
236,"787801","Jostens",412993,412993,"planned","2025-02-27T00:00:00",,"Wrestling Championship 2024-25","2024-25","FY25","2025-06-10T19:16:20.756","2025-06-10T19:16:20.756"
254,"787802","Jostens",46819,46819,"planned","2025-02-27T00:00:00","2025-03-28T00:00:00","Dummy medals for display/testing - 28 total medals","2024-25","FY25","2025-06-10T21:10:42.052203","2025-06-10T21:10:42.052203"
206,"787803","Jostens",755012,755012,"planned","2025-02-27T00:00:00","2025-03-27T00:00:00","Tournament Championship + Championship Trophy + Of The Year A + Of The Year B + Medals","2024-25","FY25","2025-06-10T18:10:45.971422","2025-06-12T21:01:02.720939"
214,"787804","Jostens",270924,270924,"planned","2025-02-27T00:00:00","2025-03-27T00:00:00","Men's Basketball Championship Trophy","2024-25","FY25","2025-06-10T18:10:46.651719","2025-06-10T18:10:46.651719"
262,"787805","Jostens",14485,14485,"planned","2025-02-27T00:00:00","2025-03-09T00:00:00","Special Olympics Gold Medals","2024-25","FY25","2025-06-11T02:36:49.422781","2025-06-11T02:36:49.422781"
226,"787806","Jostens",53758,53758,"planned","2025-02-27T00:00:00",,"Swimming & Diving Team Medals","2024-25","FY25","2025-06-10T19:12:10.213","2025-06-10T19:12:10.213"
232,"787807","Jostens",316039,316039,"planned","2025-02-27T00:00:00",,"Women's Basketball Regular Season 2023","2024-25","FY25","2025-06-10T19:16:20.756","2025-06-10T19:16:20.756"
260,"787984","Jostens",11531,11531,"planned","2025-03-06T00:00:00","2025-03-15T00:00:00","Special Olympics Ring Box Replacements","2024-25","FY25","2025-06-11T02:36:49.070407","2025-06-11T02:36:49.070407"
215,"787985","Jostens",200669,200669,"planned","2025-03-06T00:00:00","2025-04-06T00:00:00","Tournament Championship + Most Outstanding Player + Of The Year Large","2024-25","FY25","2025-06-10T18:10:46.951487","2025-06-12T21:01:13.714412"
